,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'4CMLCL_kt', 'RHACOAR80'}",2,1.0342775559613049e-09,0.091482861678571,0.0,0.004992024539881224
1,"{'CBMKr', 'AOXHEXCYCL'}",2,1.4425749483848454e-10,0.41522252964504885,0.0,0.02261656441717866
2,"{'TRPS1', 'CSND'}",2,4.049962008118024e-09,0.4178046928319409,0.0,0.02261656441716664
3,"{'PGMT', 'ENO', 'ORNDC', 'ICDHyr'}",4,7.804841883896074e-09,0.39921580483473085,0.0,0.02237823129252499
4,"{'SERAT', 'AOXHEXCYCL', 'ENO', 'ICDHyr'}",4,2.4684008170794414e-09,0.39934479593931804,0.0,0.022378231292512957
5,"{'AOXHEXCYCL', 'URIC2', 'ACOAD24f', 'ICDHyr'}",4,7.659530110276668e-08,0.40446570181182,0.0,0.022536423841046913
6,"{'CBMKr', 'PRPPS', 'HEX1', '3OADPCOAT'}",4,1.500661985965484e-10,0.09092195832934238,0.0,0.004992024539876152
7,"{'4CMLCL_kt', 'MALS', 'ENO', 'HSK'}",4,1.2437054363809152e-09,0.0822003508439551,0.0,0.004528220858898452
8,"{'PGMT', 'CYTK1', 'FUM', 'DURAD2'}",4,0.0,0.14382140417938538,0.0,0.008201398601396938
9,"{'PRPPS', 'ME2', 'ECOAH8', '3HBCD'}",4,1.571122987265028e-08,0.4178046935244732,0.0,0.022616564417181628
