,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'CSPMDDH', 'ACONTb', 'CYTDH', 'NTD2'}",4,1.291868314681633,0.16788466468178112,0.0,2.2475524475524464
1,"{'GAPD', 'ECOAH7', 'ECOAH27', 'NTD2'}",4,1.4204979967291642e-07,0.413836912752071,0.0,0.02215276073619299
2,"{'GLUTCOADHc', 'ACOAD2f', 'CYTDH', 'ECOAH27'}",4,4.539169200235005e-07,0.41780469358011085,0.0,0.022616564417172413
3,"{'GAPD', 'PGI', 'PGM', 'ECOAH27'}",4,2.0921249455074786e-09,0.41354296959555925,0.0,0.022036809815959
4,"{'PGI', 'KAT6', 'PGM', 'AADSACYCL'}",4,6.376517369677259e-10,0.4166852259087589,0.0,0.022152760736195265
5,"{'4CMLCL_kt', 'ACONTb', 'PHETHPTOX3', 'GLUR'}",4,1.1118446406610527e-09,0.08776728243004657,0.0,0.005029370629370238
6,"{'GAPD', 'PGI', 'HACD22i', 'PGM'}",4,1.3480603772153543e-08,0.4135429696136817,0.0,0.0220368098159483
7,"{'GALUi', 'PGI', 'IPDDI', 'CSPMDDH'}",4,5.6912047061152826e-08,0.41780469358008065,0.0,0.022616564417188095
8,"{'GLUTCOADHc', 'ACOAD2f', 'ECOAH27', 'AADSACYCL'}",4,1.1487732431980646e-09,0.4178046935800748,0.0,0.022616564417177104
9,"{'GALUi', 'GLUTCOADHc', 'ACOAD2f', 'ECOAH27'}",4,7.120944112148919e-10,0.41780469345769267,0.0,0.022616564417185014
