,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'DHPS', 'NTD4', 'FOLD3'}",3,2.017306518299448,0.045139722814211296,0.0,2.2616564417177902
1,"{'GAPD', 'ICL', 'GLYCTO1'}",3,0.22937889486612942,0.28963288954632666,0.0,0.24587528996681424
2,"{'THRD_L', 'DHPS', 'TKT2', 'FOLD3'}",4,2.0173049500012956,0.044822706049725755,0.0,2.2616564417177916
3,"{'CSPMDDH', 'DHPM1', 'DHPS', 'FOLD3'}",4,2.0354868181482684,0.041780469358059236,0.0,2.2616564417177916
4,"{'GGDAPS', 'DHPM1', 'DHPS', 'FOLD3'}",4,2.035486818148951,0.041780469358059236,0.0,2.2616564417177907
5,"{'MDH', 'CYTK1', 'DHPS', 'FOLD3'}",4,2.0102168141914505,0.043147865101850175,0.0,2.2536423841059605
6,"{'DURAD', 'DHPS', 'ABTA', 'FOLD3'}",4,2.0354907975457386,0.041780469358059236,0.0,2.2616564417177916
7,"{'UPPN', 'DHPS', 'FOLD3', 'GGDAPDxr'}",4,2.0354868181482697,0.041780469358059236,0.0,2.2616564417177916
8,"{'THRS', 'DHPS', 'ILETA', 'FOLD3'}",4,2.0173097325682354,0.04414477895521279,0.0,2.2616564417177925
9,"{'GAPD', 'ICL', 'GLYCTO1', 'TKT2'}",4,0.3428232743011321,0.26483455337051565,0.0,0.358185225607046
